nro_sloc_prod;nro_cliente;fecha_solicitud_prod;ahorro_minimo_mensual;dia_de_pago;monto_ahorrado;nom_producto
250001;5;12-12-2024;$250.000;DIA NRO 30;1000000;dep¢sito a plazo
300025;5;12-03-2022;$250.000;DIA NRO 30;9250000;dep¢sito a plazo
250002;6;20-01-2023;$125.000;DIA NRO 25;3375000;cuenta de ahorro para la vivienda
250003;13;01-03-2025;$400.000;DIA NRO 10;400000;cuenta de ahorro para la vivienda
250004;14;25-06-2023;$280.000;DIA NRO 25;5880000;cuenta de ahorro para la vivienda
250005;15;15-09-2024;$210.000;DIA NRO 15;1470000;cuenta de ahorro para la vivienda
250006;26;17-09-2022;$185.000;DIA NRO 10;5735000;cuenta de ahorro para la vivienda
150030;26;17-09-2024;$185.000;DIA NRO 10;1295000;cuenta de ahorro tradicional
150031;26;17-09-2024;$185.000;DIA NRO 10;1295000;cuenta de ahorro tradicional
250007;27;05-02-2025;$230.000;DIA NRO 5;460000;cuenta de ahorro para la vivienda
250008;29;30-07-2024;$170.000;DIA NRO 30;1360000;cuenta de ahorro para la vivienda
250009;31;06-04-2025;$300.000;DIA NRO 25;0;cuenta de ahorro para la vivienda
250010;34;15-11-2024;$240.000;DIA NRO 25;1200000;cuenta de ahorro para la vivienda
250011;38;16-10-2023;$190.000;DIA NRO 10;3420000;cuenta de ahorro para la vivienda
250012;39;29-12-2024;$210.000;DIA NRO 10;630000;cuenta de ahorro para la vivienda
250013;40;18-02-2025;$310.000;DIA NRO 10;620000;cuenta de ahorro para la vivienda
250014;41;16-02-2024;$210.000;DIA NRO 15;2940000;cuenta de ahorro para la vivienda
250015;42;15-12-2023;$165.000;DIA NRO 15;2640000;cuenta de ahorro para la vivienda
250016;44;25-03-2024;$155.000;DIA NRO 15;1860000;cuenta de ahorro para la vivienda
250017;47;12-12-2023;$120.000;DIA NRO 15;1920000;cuenta de ahorro para la vivienda
250018;50;20-01-2024;$240.000;DIA NRO 20;3600000;cuenta de ahorro para la vivienda
250019;54;01-03-2024;$260.000;DIA NRO 20;3380000;cuenta de ahorro para la vivienda
250020;55;25-06-2024;$190.000;DIA NRO 20;1710000;cuenta de ahorro para la vivienda
250021;62;15-09-2023;$170.000;DIA NRO 30;3230000;cuenta de ahorro para la vivienda
250022;66;17-09-2024;$250.000;DIA NRO 30;1750000;cuenta de ahorro para la vivienda
250023;67;05-02-2025;$125.000;DIA NRO 30;250000;cuenta de ahorro para la vivienda
250024;71;30-07-2024;$400.000;DIA NRO 30;3200000;cuenta de ahorro para la vivienda
250025;78;06-04-2025;$280.000;DIA NRO 30;0;cuenta de ahorro para la vivienda
250026;83;15-11-2023;$210.000;DIA NRO 30;3570000;cuenta de ahorro para la vivienda
250027;84;16-10-2024;$185.000;DIA NRO 25;1110000;cuenta de ahorro para la vivienda
250028;85;29-12-2024;$230.000;DIA NRO 15;690000;cuenta de ahorro para la vivienda
250029;90;18-02-2025;$170.000;DIA NRO 25;340000;cuenta de ahorro para la vivienda
250030;92;16-02-2024;$300.000;DIA NRO 15;4200000;cuenta de ahorro para la vivienda
250031;95;15-12-2023;$240.000;DIA NRO 10;3840000;cuenta de ahorro para la vivienda
250032;100;25-03-2024;$190.000;DIA NRO 5;2280000;cuenta de ahorro para la vivienda
250033;101;25-03-2024;$210.000;DIA NRO 30;2520000;cuenta de ahorro para la vivienda
